City,Address,Area(In Sq.Feet),Price(Float),Bedroom,Bathroom,Road,Face,Parking,Floors
 Kathmandu, Mulpani,1711.25,28000000.0,0,0,16.0,East,0,
 Bhaktapur, Duwakot,1026.75,8000000.0,0,0,13.0,South,0,
 Kathmandu, Thankot,1369.0,15500000.0,4,1,11.0,East,3,
 Kathmandu, Baghbazaar,1133.703125,35000000.0,9,7,10.0,North,0,5.0
 Lalitpur, Imadol,1197.84,21000000.0,4,4,13.0,East,1,3.0
 Lalitpur, Imadol,1026.75,21500000.0,4,4,13.0,East,1,3.0
 Lalitpur, Imadol,1197.875,24500000.0,4,4,13.0,East,2,3.0
 Lalitpur, Imadol,1026.75,21500000.0,4,3,13.0,East,1,3.0
 Lalitpur, Imadol,1197.875,22500000.0,4,4,13.0,East,2,3.0
 Lalitpur, Imadol,1369.0,33500000.0,8,5,13.0,South,2,4.0
 Lalitpur, Imadol,1026.75,21000000.0,4,4,13.0,North,1,3.0
 Lalitpur, Tikathali,1112.3125,19500000.0,0,0,10.0,North,0,
 Kathmandu, Kadaghari,1112.3125,16000000.0,0,0,20.0,West,0,
 Lalitpur, Tikathali,1540.125,23000000.0,0,0,10.0,West,0,
 Kathmandu, Kapan,855.625,14000000.0,0,0,0.0,West,0,
 Kathmandu, Kapan,1369.0,22500000.0,0,0,12.0,East,0,
 Kathmandu, Sanobharyang,1882.375,35000000.0,0,0,16.0,East,0,
 Kathmandu, Dhungedhara,1882.375,55000000.0,0,0,0.0,East,0,
 Kathmandu, Baneshwor,1369.0,26000000.0,0,0,13.0,South,0,
 Lalitpur, Hattiban,2139.0625,26000000.0,0,0,10.0,South,0,
 Kathmandu, Bhangal,1369.0,28000000.0,0,0,20.0,West,0,
 Lalitpur, Imadol,1454.5625,22500000.0,0,0,12.0,East,0,
 Kathmandu, Boudha,1026.75,27000000.0,0,0,15.0,West,0,
 Kathmandu, Kageshwari-Manohara,1369.0,26500000.0,0,0,20.0,West,0,
 Kathmandu, Dhapasi,1540.125,23000000.0,0,0,0.0,West,0,
 Bhaktapur, Suryabinayak,1540.125,10000000.0,0,0,0.0,East,0,
 Lalitpur, Imadol,941.1875,15200000.0,0,0,13.0,West,0,
 Kathmandu, Jorpati,1540.125,35000000.0,0,0,0.0,West,0,
 Kathmandu, Tokha,1369.0,19000000.0,0,0,20.0,South,0,
 Kathmandu, Nagarjun,1369.0,17500000.0,0,0,13.0,West,0,
 Lalitpur, Lubhu,1026.75,13700000.0,0,0,0.0,West,0,
 Bhaktapur, Kausaltar,1197.875,12950000.0,0,0,0.0,West,0,
 Lalitpur, Imadol,1369.0,29500000.0,6,4,13.0,South East,2,3.0
 Bhaktapur, Duwakot,1711.25,24000000.0,0,0,13.0,West,0,
 Bhaktapur, Lokanthali,1711.25,28000000.0,0,0,12.0,West,0,
 Kathmandu, Thali,1026.75,15500000.0,0,0,12.0,West,0,
 Kathmandu, Maharajgunj,3593.625,62500000.0,0,0,0.0,West,0,
 Kathmandu, Balaju,1026.75,9300000.0,0,0,6.0,West,0,
 Kathmandu, Budhanilkantha,2738.0,35000000.0,6,6,20.0,East,5,3.0
 Kathmandu, Baghbazaar,320.859375,23000000.0,0,0,30.0,East,0,3.0
 Kathmandu, Budhanilkantha,2053.5,55000000.0,5,5,16.0,East,0,
 Kathmandu, Syuchatar,1026.75,22500000.0,6,3,13.0,East,1,
 Lalitpur, Sanepa,8214.0,240000000.0,5,5,13.0,East,5,2.0
 Bhaktapur, Gatthaghar,1369.0,40000000.0,0,0,15.0,East,0,
 Kathmandu, Ramkot,1197.875,16500000.0,0,0,13.0,West,0,
 Kathmandu, Kapan,1197.875,21500000.0,0,0,13.0,South,0,
 Kathmandu, Hattigauda,3764.75,37400000.0,0,0,16.0,West,0,
 Kathmandu, Budhanilkantha,1540.125,36500000.0,0,0,13.0,South,0,
 Kathmandu, Sitapaila,1369.0,10500000.0,0,0,3.0,West,0,
 Kathmandu, Chhauni,4278.125,85000000.0,0,0,12.0,West,0,
 Bhaktapur, Duwakot,1026.75,11500000.0,0,0,12.0,East,0,
 Kathmandu, Sitapaila,1369.0,17500000.0,0,0,13.0,East,0,
 Bhaktapur, Sudal,1369.0,11500000.0,0,0,10.0,East,0,
 Kathmandu, Budhanilkantha,1112.3125,25000000.0,0,0,13.0,East,0,
 Kathmandu, Bhangal,1711.25,34000000.0,0,0,13.0,North,0,
 Lalitpur, Imadol,1026.75,14000000.0,0,0,10.0,South,0,1.5
 Lalitpur, Jharuwarashi,2053.5,17000000.0,0,0,13.0,East,0,
 Kathmandu, Bhangal,1026.75,19500000.0,0,0,13.0,East,0,
 Kathmandu, Kavresthali,1026.75,8500000.0,0,0,8.0,West,0,
 Kathmandu, Balaju,1197.875,24500000.0,0,0,0.0,East,0,
 Kathmandu, Boudha,1369.0,33000000.0,0,0,20.0,South,0,
 Kathmandu, Pepsicola,1026.75,18000000.0,0,0,10.0,South,0,
 Kathmandu, Mulpani,1133.703125,19000000.0,0,0,20.0,West,0,
 Bhaktapur, Sallaghari,855.625,15000000.0,0,0,9.0,West,0,
 Lalitpur, Hattiban,2139.0625,26000000.0,0,0,0.0,West,0,
 Kathmandu, Naikap,2053.5,52500000.0,0,0,20.0,West,0,
 Bhaktapur, Suryabinayak,941.1875,16500000.0,0,0,16.0,West,0,
 Bhaktapur, Sirutar,1197.875,14500000.0,0,0,12.0,East,0,
 Kathmandu, Gokarneshwor,1026.75,8500000.0,0,0,0.0,West,0,
 Lalitpur, Taukhel,1069.53125,10500000.0,0,0,20.0,West,0,
 Kathmandu, Makalbari,1026.75,17500000.0,0,0,0.0,West,0,
 Kathmandu, Manamaiju,1197.875,17000000.0,0,0,0.0,West,0,
 Kathmandu, Ranibari,11636.5,220000000.0,0,0,20.0,South,0,
 Kathmandu, Gaushala,1369.0,38500000.0,5,5,18.0,North,0,
 Kathmandu, Tokha,1369.0,26000000.0,0,0,22.0,West,0,
 Kathmandu, Budhanilkantha,2738.0,45000000.0,0,0,0.0,West,0,
 Kathmandu, Gothatar,941.1875,16200000.0,0,0,10.0,South,0,
 Kathmandu, Baghbazaar,1133.703125,35000000.0,9,5,12.0,North,0,5.0
 Lalitpur, Tikathali,1197.875,14700000.0,2,1,13.0,South,1,
 Kathmandu, Kirtipur,1197.875,7500000.0,0,0,13.0,West,0,
 Kathmandu, Raniban,10952.0,112000000.0,0,0,18.0,West,0,2.0
 Lalitpur, Imadol,1133.703125,22500000.0,7,7,13.0,South West,1,
 Kathmandu, Mandikatar,1197.875,27000000.0,0,0,13.0,South East,0,
 Kathmandu, Dhapasi,1369.0,26000000.0,0,0,0.0,East,1,2.5
 Kathmandu, Pepsicola,1283.4375,16000000.0,0,0,10.0,East,0,
 Kathmandu, Budhanilkantha,1754.03125,34000000.0,3,5,13.0,South West,2,
 Lalitpur, Tikathali,1283.4375,14500000.0,2,1,13.0,North East,1,
 Kathmandu, Budhanilkantha,6160.5,100000000.0,6,7,15.0,South East,5,
 Kathmandu, Chabahil,1197.875,14000000.0,0,0,13.0,East,0,
 Lalitpur, Nakkhu,1112.3125,8500000.0,0,0,13.0,West,0,
 Kathmandu, Kadaghari,1369.0,11300000.0,3,1,10.0,North,1,
 Kathmandu, Bhangal,1796.8125,33500000.0,4,4,12.0,South,1,3.0
 Kathmandu, Bishal Nagar,770.0625,72500000.0,0,0,0.0,West,0,4.0
 Bhaktapur, Bhaktapur,1197.875,7500000.0,0,0,20.0,West,0,
 Lalitpur, Tikathali,1026.75,12200000.0,2,1,13.0,South West,1,
 Kathmandu, Balaju,1454.5625,15500000.0,18,9,4.0,South West,1,
 Kathmandu, Samakhusi,1048.140625,25000000.0,0,4,10.0,North,1,4.0
 Kathmandu, Tarkeshwor,1561.515625,25000000.0,5,4,12.0,East,3,3.0
 Kathmandu, Chandragiri,1454.5625,29500000.0,7,4,14.0,West,2,2.0
 Lalitpur, Nakhipot,1197.875,26500000.0,5,4,13.0,North,7,4.0
 Kathmandu, Chandol,1369.0,35000000.0,5,4,12.0,North,1,2.0
 Kathmandu, Golfutar,1026.75,23000000.0,3,4,26.0,East,1,3.0
 Kathmandu, Basundhara,1796.8125,36000000.0,4,6,15.0,South East,1,3.5
 Kathmandu, Kalanki,5476.0,104000000.0,0,0,30.0,North West,0,
 Bhaktapur, Nagarkot,2053.5,5200000.0,2,1,0.0,North East,0,1.0
 Lalitpur, Imadol,1048.140625,24000000.0,4,3,20.0,West,1,3.0
 Kathmandu, Thulo Bharyang,1369.0,28000000.0,0,0,11.0,West,0,
 Kathmandu, Dhapasi,1026.75,21000000.0,5,3,13.0,West,1,2.0
 Lalitpur, Dhobighat,7187.25,95000000.0,5,4,20.0,East,2,3.0
 Kathmandu, Chappal Karkhana,1839.59375,40000000.0,7,4,12.0,North,1,3.5
 Lalitpur, Dhapakhel,1026.75,13500000.0,2,0,13.0,East,1,
 Kathmandu, Buddhanagar,855.625,24500000.0,3,3,10.0,South,1,2.5
 Kathmandu, Budhanilkantha,1711.25,40000000.0,3,4,20.0,East,1,
 Lalitpur, Imadol,1112.3125,22000000.0,0,0,13.0,East,0,
 Kathmandu, Gaurighat,1026.75,25000000.0,8,3,12.0,East,1,3.0
 Kathmandu, Balambu,855.625,18000000.0,0,0,0.0,South,0,
 Kathmandu, Kalanki,1283.4375,22000000.0,0,0,0.0,West,0,
 Kathmandu, Budhanilkantha,1369.0,35000000.0,0,0,0.0,North East,0,
 Kathmandu, Dallu,855.625,13500000.0,0,0,0.0,West,0,
 Kathmandu, Thali,1240.65625,11000000.0,0,0,0.0,East,0,
 Kathmandu, Goldhunga,1026.75,18500000.0,0,0,0.0,West,0,
 Lalitpur, Imadol,1711.25,19000000.0,0,0,0.0,North West,0,
 Lalitpur, Dhapakhel,1197.875,13000000.0,0,0,0.0,East,0,
 Kathmandu, Sukedhara,1454.5625,27000000.0,0,0,0.0,East,0,
 Kathmandu, Tarkeshwor,855.625,11500000.0,0,0,0.0,East,0,
 Kathmandu, Lazimpat,1369.0,75000000.0,4,6,0.0,East,0,
 Kathmandu, Gokarneshwor,1369.0,35000000.0,0,0,0.0,East,0,
 Kathmandu, Budhanilkantha,10952.0,150000000.0,0,0,0.0,South East,0,
 Lalitpur, Bhaisepati,4449.25,160000000.0,0,0,0.0,South East,0,
 Lalitpur, Imadol,1026.75,18500000.0,0,0,0.0,North,0,
 Lalitpur, Imadol,941.1875,18200000.0,0,0,0.0,North East,0,
 Bhaktapur, Bhaktapur,1540.125,19000000.0,0,0,0.0,North West,0,
 Kathmandu, Bafal,1026.75,24500000.0,0,0,0.0,East,0,
 Kathmandu, Koteshwor,855.625,19000000.0,0,0,0.0,East,0,
 Kathmandu, Makalbari,855.625,13500000.0,0,0,0.0,North,0,
 Kathmandu, Kalanki,2053.5,31500000.0,0,0,0.0,North East,0,
 Lalitpur, Lalitpur,1369.0,23000000.0,0,0,0.0,East,0,
 Kathmandu, Thankot,1197.875,25000000.0,0,0,0.0,East,0,
 Lalitpur, Chapagaun,1369.0,8500000.0,0,0,0.0,East,0,
 Kathmandu, Balaju,2053.5,35000000.0,0,0,0.0,South East,0,
 Kathmandu, Sitapaila,1197.875,27000000.0,0,0,0.0,South,0,
 Kathmandu, Kalanki,1497.34375,29800000.0,0,0,0.0,South West,0,
 Kathmandu, Kirtipur,770.0625,7000000.0,0,0,0.0,East,0,
 Lalitpur, Lubhu,1540.125,22000000.0,0,0,0.0,North East,0,
 Kathmandu, Mandikatar,1283.4375,15700000.0,0,0,0.0,West,0,
 Kathmandu, Mandikatar,1283.4375,15700000.0,0,0,13.0,East,0,
 Kathmandu, Narephate,855.625,14500000.0,0,0,0.0,East,0,
 Kathmandu, Dillibazar,1369.0,58500000.0,0,0,0.0,East,0,
 Kathmandu, Machha Pokhari,1112.3125,20000000.0,0,0,0.0,East,0,
 Kathmandu, Gongabu,1711.25,27500000.0,0,0,0.0,West,0,
 Lalitpur, Lamatar,1369.0,9700000.0,0,0,0.0,East,0,
 Kathmandu, Halchowk ,1026.75,8400000.0,0,0,0.0,South,0,
 Lalitpur, Bhaisepati,1711.25,40000000.0,0,0,0.0,East,0,
 Lalitpur, Tikathali,1283.4375,14500000.0,0,0,0.0,East,0,
 Kathmandu, Budhanilkantha,1112.3125,16000000.0,4,3,10.0,East,2,3.0
 Kathmandu, Sukedhara,1369.0,19500000.0,0,0,13.0,West,0,
 Kathmandu, Gokarneshwor,1369.0,13000000.0,3,1,14.0,South,0,1.0
 Kathmandu, Sitapaila,1369.0,37500000.0,0,0,18.0,East,0,3.5
 Kathmandu, Goldhunga,941.1875,9000000.0,2,2,0.0,East,0,
 Kathmandu, Buddhanagar,1112.3125,31500000.0,0,0,0.0,East,0,
 Kathmandu, Naxal,1369.0,80000000.0,6,5,14.0,East,2,4.0
 Kathmandu, Thankot,855.625,7000000.0,0,0,15.0,West,0,
 Bhaktapur, Nagarkot,2053.5,5550000.0,0,0,0.0,North East,0,
 Kathmandu, Manamaiju,1197.875,16500000.0,0,0,10.0,South,0,1.0
 Kathmandu, Manamaiju,1026.75,16000000.0,0,0,0.0,East,0,
 Kathmandu, khahare,1369.0,18500000.0,0,0,16.0,East,0,2.5
 Kathmandu, Nepaltar,1369.0,27000000.0,0,0,26.0,North East,0,3.5
 Kathmandu, Anamnagar,1454.5625,46500000.0,0,0,20.0,West,0,
 Kathmandu, Tarkeshwor,1711.25,35000000.0,0,0,13.0,East,0,2.5
 Kathmandu, Sano Bharyang,2053.5,50000000.0,5,3,13.0,South East,1,3.0
 Kathmandu, Gongabu,1711.25,27500000.0,0,0,0.0,East,0,
 Lalitpur, Patan,1283.4375,28000000.0,9,5,13.0,East,1,4.0
 Kathmandu, Bhangal,1026.75,12000000.0,0,0,10.0,South West,0,
 Lalitpur, Lalitpur,1112.3125,22200000.0,0,0,14.0,West,0,
 Kathmandu, Thali,1133.703125,15500000.0,0,0,0.0,South East,0,
 Lalitpur, Imadol,1026.75,18500000.0,4,3,13.0,North,0,2.5
 Kathmandu, Sanobharyang,1454.5625,295000000.0,7,4,13.0,East,1,2.5
 Bhaktapur, Suryabinayak,941.1875,12200000.0,0,0,0.0,South,0,
 Kathmandu, Sukedhara,1112.3125,28000000.0,10,3,25.0,South,4,4.0
 Kathmandu, Sitapaila,1283.4375,21500000.0,0,0,0.0,West,0,
 Kathmandu, Basundhara,1369.0,23500000.0,0,0,12.0,East,0,
 Kathmandu, Kalanki,1711.25,24000000.0,12,4,10.0,North,1,4.0
 Kathmandu, Budhanilkantha,3123.03125,60000000.0,7,4,13.0,East,3,2.5
 Kathmandu, Kalimati,3251.375,80000000.0,0,0,13.0,South East,0,
 Kathmandu, Swayambhu,2738.0,49800000.0,0,0,0.0,East,0,
 Lalitpur, Imadol,1026.75,18500000.0,4,4,13.0,North,1,2.5
 Lalitpur, Imadol,1197.875,23500000.0,4,4,13.0,South,1,2.5
 Lalitpur, Khumaltar,1197.875,23500000.0,0,0,13.0,East,0,
 Kathmandu, Chandragiri,898.40625,14000000.0,0,0,10.0,East,0,
 Kathmandu, Bishal Nagar,2139.0625,60000000.0,0,0,14.0,East,0,
 Lalitpur, Nakkhu,1240.65625,26000000.0,0,0,20.0,East,0,
 Lalitpur, Sano Gaun,1026.75,15500000.0,0,0,13.0,East,0,
 Lalitpur, Lubhu,1197.875,19500000.0,0,0,14.0,East,0,
 Kathmandu, Pepsicola,1112.3125,22200000.0,10,3,20.0,East,1,4.0
 Bhaktapur, Lokanthali,1197.875,18500000.0,0,0,13.0,East,0,
 Bhaktapur, Sirutar,2738.0,28500000.0,0,0,13.0,West,0,
 Kathmandu, Narephate,1454.5625,50000000.0,5,4,12.0,South,2,3.0
 Kathmandu, Banasthali,1197.875,27500000.0,0,0,12.0,East,0,
 Lalitpur, Hattiban,1369.0,18000000.0,0,0,13.0,East,0,
 Kathmandu, Sitapaila,1026.75,20300000.0,4,4,12.0,East,4,
 Kathmandu, Nagarjun,2139.0625,38500000.0,0,0,16.0,East,0,
 Kathmandu, Kapan,855.625,16500000.0,0,0,10.0,South West,0,
 Kathmandu, Thamel,770.0625,55000000.0,0,0,20.0,West,0,
 Kathmandu, Bohoratar,770.0625,7875000.0,3,1,20.0,South West,0,1.0
 Kathmandu, Dhumbarahi,1197.875,23000000.0,0,0,16.0,West,0,
 Kathmandu, Sankhu,1026.75,4800000.0,0,0,32.0,East,0,
 Kathmandu, Sitapaila,1540.125,27000000.0,5,4,13.0,North,1,
 Kathmandu, Sano Bharyang,1369.0,25000000.0,0,0,12.0,East,0,2.0
 Kathmandu, Basundhara,1197.875,27500000.0,0,0,13.0,West,0,
 Lalitpur, Chakupat,684.5,14000000.0,5,2,10.0,North,0,4.0
 Kathmandu, Kapan,1369.0,27000000.0,0,0,12.0,South,4,3.0
 Kathmandu, Chandragiri,1283.4375,11700000.0,0,0,16.0,West,0,
 Bhaktapur, Kamalbinayak,1561.515625,39900000.0,0,0,13.0,North,0,
 Lalitpur, Lalitpur,1197.875,26000000.0,4,3,0.0,East,2,3.0
 Kathmandu, Budhanilkantha,1711.25,46000000.0,5,6,14.0,West,2,2.5
 Lalitpur, Sanepa,12663.25,266400000.0,4,4,20.0,South West,3,2.0
 Kathmandu, Budhanilkantha,3764.75,110000000.0,3,4,14.0,West,2,2.0
 Kathmandu, Mid Baneshwor,5476.0,100000000.0,3,3,10.0,North,3,2.0
 Lalitpur, Godawari,20535.0,180000000.0,4,4,20.0,North East,3,3.0
 Bhaktapur, Changunarayan,1369.0,2600000.0,0,0,20.0,East,0,
 Bhaktapur, Sallaghari,1026.75,23000000.0,0,0,20.0,East,0,2.5
 Bhaktapur, Sipadol,941.1875,11800000.0,0,0,13.0,East,0,1.0
 Bhaktapur, Kharipati,1026.75,14000000.0,0,0,20.0,West,0,
 Kathmandu, Kageshwari-Manohara,1026.75,16000000.0,0,0,13.0,East,0,
 Kathmandu, Chabahil,919.796875,16500000.0,8,5,13.0,East,1,
 Lalitpur, Bhaisepati,1540.125,31500000.0,0,0,13.0,East,0,2.5
 Kathmandu, Syuchatar,1689.859375,19500000.0,0,0,0.0,East,0,
 Lalitpur, Imadol,1112.3125,21000000.0,5,4,20.0,West,1,8.0
 Kathmandu, Thamel,53.67,95000000.0,0,0,0.0,North West,0,7.0
 Kathmandu, Putalisadak,855.625,50000000.0,0,0,14.0,West,0,5.0
 Lalitpur, Imadol,1112.3125,22500000.0,4,3,20.0,South,2,8.0
 Kathmandu, Mulpani,1754.03125,28000000.0,5,4,20.0,North,1,2.5
 Kathmandu, Kapan,1625.6875,28000000.0,8,3,14.0,East,2,
 Kathmandu, Nagarjun,1454.5625,24000000.0,0,0,22.0,South East,0,
 Kathmandu, Samakhusi,1026.75,34500000.0,4,4,13.0,East,1,3.0
 Kathmandu, Boudha,1262.046875,26500000.0,5,3,13.0,North,1,2.5
 Lalitpur, Nakkhu,1262.046875,27000000.0,0,0,20.0,West,0,
 Kathmandu, Chabahil,3058.859375,120000000.0,0,0,40.0,North East,0,
 Kathmandu, Gaushala,1026.75,11000000.0,0,0,5.0,East,0,2.0
 Kathmandu, Balaju,2053.5,25000000.0,3,3,14.0,South,4,3.0
 Kathmandu, Dallu,1625.6875,34000000.0,0,0,13.0,West,0,3.0
 Kathmandu, Hattigauda,1711.25,34500000.0,5,5,13.0,South,2,3.0
 Kathmandu, Bansbari,4107.0,85000000.0,0,0,13.0,East,0,
 Kathmandu, Kageshwari-Manohara,705.890625,12500000.0,4,3,10.0,East,1,3.0
 Kathmandu, Thulo Bharyang,1005.359375,15500000.0,0,0,12.0,East,0,
 Lalitpur, Satdobato,1625.6875,32500000.0,5,4,10.0,South East,1,3.0
 Kathmandu, Chandol,1967.9375,42500000.0,5,4,15.0,East,2,
 Lalitpur, Imadol,1048.140625,15000000.0,0,4,4.0,South,1,
 Lalitpur, Bhaisepati,1133.703125,28500000.0,4,4,13.0,East,1,2.0
 Kathmandu, Tokha,7786.1875,35000000.0,4,4,20.0,East,1,3.0
 Kathmandu, Koteshwor,1711.25,38000000.0,6,4,13.0,West,1,3.0
 Bhaktapur, Kausaltar,1369.0,32500000.0,6,4,20.0,South,1,3.0
 Kathmandu, Baluwatar,6738.046875,305156250.0,8,4,26.0,East,4,2.0
 Kathmandu, Budhanilkantha,2053.5,45000000.0,0,0,12.0,East,0,2.5
 Kathmandu, Dillibazar,1754.03125,42500000.0,8,4,13.5,West,2,4.0
 Kathmandu, Gongabu,1026.75,25000000.0,0,0,10.0,East,0,
 Kathmandu, Bafal,1197.875,19500000.0,0,0,13.0,North East,0,
 Kathmandu, Bafal,1411.78125,29000000.0,0,0,12.0,West,0,
 Kathmandu, Boudha,1711.25,28000000.0,0,0,13.0,East,0,
 Lalitpur, Bhaisepati,1197.875,26000000.0,4,4,20.0,West,1,
 Lalitpur, Sano Gaun,1454.5625,22000000.0,3,4,20.0,South,1,3.0
 Kathmandu, Budhanilkantha,6845.0,100000000.0,5,3,20.0,West,0,
 Kathmandu, Budhanilkantha,3080.25,63000000.0,5,5,22.0,North West,5,3.0
 Kathmandu, Mandikatar,1882.375,33000000.0,0,0,16.0,East,0,
 Kathmandu, Dhumbarahi,1112.3125,22500000.0,0,0,13.0,East,0,
 Kathmandu, Mandikatar,1540.125,32500000.0,0,0,16.0,East,0,
 Kathmandu, Mandikatar,1925.15625,31000000.0,0,0,16.0,East,0,
 Kathmandu, Sukedhara,1262.046875,23500000.0,0,0,12.0,East,0,
 Kathmandu, Kapan,1240.65625,22000000.0,0,0,16.0,East,0,
 Kathmandu, Pepsicola,855.625,15000000.0,4,2,13.0,North West,1,2.0
 Kathmandu, Battisputali,1540.125,43000000.0,6,6,15.0,South,1,3.0
 Kathmandu, Goldhunga,1369.0,19500000.0,0,0,10.0,North East,0,
 Kathmandu, Goldhunga,877.015625,15000000.0,0,0,13.0,North East,0,
 Kathmandu, Dillibazar,910.0,40000000.0,4,4,14.0,East,3,5.0
 Kathmandu, Ason,748.671875,80000000.0,8,4,25.0,South West,0,5.0
 Kathmandu, Sunderbasti,1967.9375,31500000.0,5,4,14.0,East,3,2.0
 Kathmandu, Boudha,3764.75,187000000.0,0,0,15.0,South,0,
 Kathmandu, Dhumbarahi,2502.703125,65000000.0,0,0,10.0,South,0,
 Kathmandu, Kapan,1540.125,27200000.0,6,3,13.0,East,2,2.5
 Kathmandu, Budhanilkantha,2053.5,47000000.0,5,3,12.0,East,3,
 Lalitpur, Imadol,1197.875,15000000.0,2,1,14.0,North West,1,1.0
 Lalitpur, Thaiba,1069.53125,17000000.0,4,3,20.0,North,2,3.0
 Kathmandu, Hattigauda,1112.3125,25000000.0,0,0,12.0,South,0,
 Kathmandu, Bafal,1540.125,24500000.0,7,3,13.0,North,3,2.5
 Lalitpur, Nakkhu,1540.125,29000000.0,4,5,15.0,South,1,2.5
 Lalitpur, Nakkhu,1369.0,29000000.0,4,5,20.0,East,1,2.5
 Lalitpur, Bhaisepati,1369.0,32500000.0,4,5,20.0,West,2,3.0
 Kathmandu, Thapagaun,1347.609375,36000000.0,7,4,20.0,North,1,3.0
 Lalitpur, Bhaisepati,1369.0,30000000.0,4,4,14.0,East,1,2.5
 Lalitpur, Bhaisepati,1219.265625,24500000.0,4,5,20.0,South,2,2.5
 Kathmandu, Golfutar,2053.5,31000000.0,0,0,13.0,East,0,2.0
 Kathmandu, Mandikatar,1262.046875,25000000.0,11,0,13.0,North East,4,2.5
 Kathmandu, Golfutar,1197.875,21500000.0,10,0,14.0,South,0,
 Kathmandu, Kapan,1369.0,26500000.0,11,0,20.0,West,0,
 Lalitpur, Imadol,1133.703125,22000000.0,5,5,13.0,East,4,2.5
 Lalitpur, Imadol,1197.875,25000000.0,5,3,20.0,West,3,2.5
 Lalitpur, Dhobighat,3080.25,150000000.0,6,7,16.0,East,3,3.0
 Kathmandu, Nagarjun,1240.65625,22000000.0,7,4,10.0,South,4,2.5
 Lalitpur, Imadol,1369.0,19500000.0,5,3,15.0,West,5,8.0
 Kathmandu, Buddhanagar,1711.25,56500000.0,10,5,16.0,East,2,3.0
 Kathmandu, Chabahil,111.0,31000000.0,8,4,0.0,West,2,3.0
 Kathmandu, Sitapaila,1197.875,21000000.0,5,2,13.0,South,3,2.0
 Kathmandu, Gongabu,2395.75,35000000.0,4,4,16.0,East,1,20.0
 Kathmandu, Sukedhara,2053.5,42000000.0,5,5,14.0,East,3,3.0
 Kathmandu, Sanobharyang,1347.609375,31500000.0,7,2,16.0,North,3,2.0
 Kathmandu, Bafal,1026.75,23000000.0,6,2,10.0,South,4,2.0
 Lalitpur, Bhaisepati,1369.0,31000000.0,4,3,18.0,South East,4,3.0
 Kathmandu, Syuchatar,406.421875,22000000.0,4,2,14.0,North East,1,2.0
 Lalitpur, Sano Gaun,1369.0,21500000.0,5,2,20.0,East,3,2.0
 Lalitpur, Nakkhu,1197.875,26500000.0,4,4,20.0,South East,5,2.5
 Kathmandu, Baluwatar,1796.8125,55000000.0,4,5,12.0,South East,2,3.0
 Kathmandu, Tahachal,1882.375,55000000.0,7,8,15.0,North,4,2.0
 Bhaktapur, Balkot,1026.75,19000000.0,3,4,10.0,North,2,3.0
 Kathmandu, Maharajgunj,10952.0,350000000.0,6,6,17.0,East,6,3.0
 Lalitpur, Thaiba,11722.0625,17500000.0,4,3,20.0,North,1,
 Lalitpur, Lalitpur,1369.0,34000000.0,5,3,16.0,South West,5,3.0
 Kathmandu, Jorpati,1369.0,20000000.0,0,0,8.5,East,0,
 Kathmandu, Chamati,1197.875,34000000.0,6,3,20.0,East,5,2.5
 Kathmandu, Chamati,877.015625,21500000.0,4,2,20.0,South East,0,3.0
 Kathmandu, Sitapaila,85.5625,26000000.0,8,5,14.0,West,1,3.0
 Kathmandu, Baniyatar,983.96875,19000000.0,4,3,14.0,North,4,2.5
 Kathmandu, Nepaltar,1197.875,25000000.0,10,5,15.0,North,4,3.5
 Kathmandu, Kapan,1540.125,42000000.0,6,4,20.0,South West,4,3.5
 Kathmandu, Golfutar,2139.0625,40000000.0,4,5,13.0,North,2,3.0
 Kathmandu, Raniban,1540.125,23500000.0,5,3,10.0,West,2,2.5
 Kathmandu, Gongabu,1540.125,22500000.0,0,0,10.0,East,0,
 Kathmandu, Ranibari,2738.0,44000000.0,3,1,20.0,East,1,1.0
 Lalitpur, Tikathali,1026.75,16500000.0,6,3,10.0,South,1,3.0
 Bhaktapur, Sipadol,1197.875,19500000.0,6,3,10.0,East,1,3.0
 Kathmandu, Baghbazaar,770.0625,80000000.0,0,0,65.62,West,0,5.0
 Kathmandu, Balkhu,1026.75,15000000.0,0,0,0.0,East,0,
 Kathmandu, Budhanilkantha,941.1875,16000000.0,3,3,13.0,South West,1,3.0
 Kathmandu, Balaju,1026.75,15500000.0,6,0,12.0,North West,1,3.0
 Kathmandu, Samakhusi,11636.5,142500000.0,5,5,16.0,West,7,
 Kathmandu, Naikap,941.1875,17000000.0,5,5,13.0,East,4,2.0
 Kathmandu, Sanobharyang,1197.875,23000000.0,6,4,13.0,West,4,2.5
 Kathmandu, Baneshwor,1711.25,47000000.0,12,0,20.0,North,0,3.0
 Kathmandu, Shantinagar,1369.0,37500000.0,11,0,20.0,West,2,3.5
 Kathmandu, Dhapasi,1369.0,24500000.0,6,3,13.0,South West,3,
 Kathmandu, Bohoratar,1026.75,16500000.0,5,3,22.0,North,0,2.5
 Kathmandu, Satungal,1240.65625,18000000.0,5,4,13.0,East,3,2.5
 Kathmandu, Bafal,1369.0,31000000.0,6,3,16.0,South West,6,2.5
 Kathmandu, Sano Bharyang,1112.3125,215.0,6,5,16.0,East,1,
 Kathmandu, Baluwatar,1796.8125,55000000.0,6,6,13.0,East,1,6.0
 Kathmandu, Bafal,1197.875,22500000.0,5,3,13.0,East,3,2.5
