Price(Float),Area(In Sq.Feet),Road,Face,Floor,Bedroom,Bathroom,Address,City
79550000,7358.375,8.0,South,3.0,5,4.0,Satdobato,Lalitpur
33500000,1369.0,8.0,East,4.0,8,5.0,Kalanki,Kathmandu
27000000,1582.90625,8.0,South East,2.5,5,2.0,Chhauni,Kathmandu
13000000,1112.3125,8.0,West,2.0,6,2.0,Kadaghari,Kathmandu
30000000,1026.75,8.0,South,2.5,5,3.0,Maitidevi,Kathmandu
31000000,855.625,9.0,North,4.0,9,9.0,Gongabu,Kathmandu
16200000,1026.75,9.0,East,4.0,9,6.0,Nepaltar,Kathmandu
28500000,1095.2,9.0,East,2.5,4,3.0,Bhangal,Kathmandu
20000000,1711.25,9.0,North East,3.0,3,2.0,Padma Colony,Kathmandu
80000000,5886.7,9.0,South West,3.5,9,4.0,Kupandole,Lalitpur
19600000,1026.75,9.0,East,4.0,11,5.0,Nepaltar,Kathmandu
22000000,1240.65625,10.0,South,2.5,7,4.0,Nagarjun,Kathmandu
20000000,1403.225,10.0,West,2.5,6,3.0,Goldhunga,Kathmandu
24000000,1369.0,10.0,North,2.5,5,3.0,Mahadevtar,Kathmandu
37000000,1369.0,10.0,North,3.0,6,4.0,Syuchatar,Kathmandu
750000000,1060.975,10.0,South,1.0,4,1.0,Duwakot,Bhaktapur
24000000,1711.25,10.0,North,4.0,12,4.0,Kalanki,Kathmandu
100000000,5476.0,10.0,North,2.0,3,3.0,Mid Baneshwor,Kathmandu
32500000,1625.6875,10.0,South East,3.0,5,4.0,Satdobato,Lalitpur
14000000,684.5,10.0,North,4.0,5,2.0,Chakupat,Lalitpur
350000000,1500.0,10.0,South east,3.0,7,3.0,Dillibazar,Kathmandu
70000000,3114.475,10.0,East,4.5,12,4.0,Satdobato,Lalitpur
75000000,4107.0,10.0,East,2.5,5,5.0,Dhumbarahi,Kathmandu
12500000,705.890625,10.0,East,3.0,4,3.0,Kageshwori Manohara,Kathmandu
19500000,898.4,10.0,South west,2.5,4,3.0,Chunikhel,Kathmandu
68000000,2738.0,10.0,South East,2.5,6,6.0,Sanepa,Lalitpur
35000000,1390.390625,10.0,South,4.0,12,8.0,Gaurighat,Kathmandu
29900000,1026.75,10.0,South,2.5,5,3.0,Buddhanagar,Kathmandu
43000000,1711.25,10.0,South,3.5,17,10.0,Lainchaur,Kathmandu
14300000,752.95,10.0,South,2.5,3,3.0,Jorpati,Kathmandu
15200000,855.625,10.0,East,2.5,4,3.0,Jorpati,Kathmandu
38000000,1369.0,10.0,East,2.5,3,3.0,Dhumbarahi,Kathmandu
46000000,1026.75,10.0,South,4.0,8,5.0,Shantinagar,Kathmandu
29000000,1403.225,10.0,South,2.5,5,4.0,Kalanki,Kathmandu
18500000,1283.4375,10.0,South,2.0,3,3.0,Sitapaila,Kathmandu
25500000,1026.75,10.0,West,2.5,8,3.0,Lolang,Kathmandu
15000000,1026.75,10.0,North,2.5,6,3.0,Kageshwori Manohara,Kathmandu
17500000,1129.425,10.0,South East,2.5,3,3.0,Ramkot,Kathmandu
32500000,1745.475,10.0,East,3.5,5,2.0,Pasikot,Kathmandu
31000000,1129.425,10.0,North,2.5,4,3.0,Ichangu Narayan,Kathmandu
12500000,1497.0,10.0,South East,2.5,4,3.0,Mulpani,Kathmandu
19000000,1369.0,10.0,West,1.0,2,1.0,Kapan,Kathmandu
23500000,1197.875,10.0,South east,2.5,5,3.0,Kapan,Kathmandu
17000000,1369.0,10.0,East,2.5,7,3.0,Changathali,Lalitpur
22500000,1437.45,10.0,East,3.5,6,3.0,Gongabu,Kathmandu
26500000,1369.0,10.0,East,2.5,5,3.0,Kapan,Kathmandu
22000000,1711.25,10.0,East,2.5,6,3.0,itakhel,Kathmandu
29500000,1500.0,10.0,West,3.5,8,4.0,Goldhunga,Kathmandu
31500000,1026.75,10.0,South East,3.0,4,3.0,Shankhamul,Kathmandu
22500000,342.25,10.0,South East,6.0,3,4.0,Basantapur,Kathmandu
17000000,1369.0,10.0,North,2.5,6,3.0,Gothatar,Kathmandu
16000000,1112.3125,10.0,East,3.0,4,3.0,Budhanilkantha,Kathmandu
24500000,855.625,10.0,South,2.5,3,3.0,Buddhanagar,Kathmandu
60000000,2909.125,10.0,East,3.5,12,6.0,Gwarko,Lalitpur
24500000,1026.75,10.0,North East,2.5,7,4.0,Tyanglafat,Kathmandu
17000000,1026.75,10.0,east,2.5,5,4.0,Imadol,Lalitpur
17000000,1095.2,10.0,South East,2.5,6,3.0,Chandragiri,Kathmandu
25000000,1026.75,10.0,South,3.5,7,3.0,Chunikhel,Kathmandu
31500000,1437.45,10.0,West,4.5,12,7.0,Gongabu,Kathmandu
16000000,1095.2,10.0,South West,2.5,4,3.0,Jarankhu,Kathmandu
21500000,1026.75,10.0,South,2.5,7,4.0,Imadol,Lalitpur
82000000,2053.5,10.0,South East,3.0,8,3.0,Suryabinayak,Bhaktapur
35000000,1133.703125,10.0,North,5.0,9,7.0,Baghbazaar,Kathmandu
13300000,1095.2,10.0,West,1.0,2,1.0,Thali,Kathmandu
25500000,1026.75,10.0,North,3.5,6,4.0,Samakhusi,Kathmandu
19500000,752.95,10.0,South West,2.5,4,3.0,Chunikhel,Kathmandu
25000000,898.44,10.0,East,3.5,6,3.0,Imadol,Lalitpur
38000000,1369.0,10.0,East,2.5,8,5.0,Gothatar,Kathmandu
100000000,2738.0,10.0,East,4.0,6,4.0,Boudha,Kathmandu
14500000,855.625,10.0,South East,2.5,5,3.0,Balambu,Kathmandu
19000000,1026.75,10.0,North,3.0,3,4.0,Balkot,Bhaktapur
18500000,1060.975,10.0,West,4.0,7,5.0,Paiyuntar,Kathmandu
18500000,1437.45,10.0,East,3.0,4,3.0,Gurjudhara,Kathmandu
16000000,1369.0,10.0,East,4.0,16,4.0,Imadol,Lalitpur
50000000,2395.75,10.0,South East,2.0,7,4.0,Mid Baneshwor,Kathmandu
17000000,1129.425,10.0,South,2.5,5,3.0,Goldhunga,Kathmandu
12000000,919.796875,10.0,North West,1.0,1,1.0,Tarakeshwar,Kathmandu
19000000,1090.921875,10.0,South East,3.0,4,3.0,Imadol,Lalitpur
24500000,1540.125,10.0,South East,3.0,7,3.0,Tokha,Kathmandu
13500000,855.625,10.0,East,3.0,4,3.0,Manamaiju,Kathmandu
14500000,1369.0,10.0,North,3.0,6,3.0,Duwakot,Bhaktapur
8500000,1112.3125,10.0,West,1.0,2,1.0,Gurujudhara,Kathmandu
36000000,1403.225,10.0,North East,3.0,5,3.0,Nakkhu,Lalitpur
10600000,1026.75,10.0,South,1.0,2,1.0,Kapan,Kathmandu
12500000,1026.75,10.0,North,3.0,3,3.0,Kapan,Kathmandu
55000000,2738.0,10.0,South,2.5,4,3.0,Baluwatar,Kathmandu
6500000,1112.3125,10.0,West,1.0,3,1.0,Goldhunga,Kathmandu
37000000,1711.25,10.0,West,2.0,4,2.0,Gongabu,Kathmandu
45000000,1711.25,10.0,South East,2.5,5,4.0,Sanepa,Lalitpur
16500000,1026.75,10.0,South West,3.0,9,3.0,Jorpati,Kathmandu
29900000,1540.125,10.0,West,3.5,8,4.0,Goldhunga,Kathmandu
19000000,752.95,10.0,South,2.5,4,2.0,Imadol,Lalitpur
13000000,1197.875,10.0,East,1.0,2,1.0,Kadaghari,Kathmandu
29150000,4534.8125,10.0,East,1.0,1,1.0,Balaju,Kathmandu
39000000,1711.25,10.0,North,2.5,7,3.0,Baluwatar,Kathmandu
22000000,1369.0,10.0,North West,2.5,5,3.0,Imadol,Lalitpur
31000000,1369.0,10.0,South,3.0,7,3.0,Bafal,Kathmandu
10500000,1095.2,10.0,West,1.0,2,1.0,Sudal,Bhaktapur
13000000,1197.875,10.0,North East,1.35,2,1.0,Imadol,Lalitpur
12700000,1090.921875,10.0,North,1.5,2,1.0,Imadol,Lalitpur
19000000,1197.875,10.0,North,3.0,8,4.0,Budhanilkantha,Kathmandu
17000000,1369.0,10.0,North West,2.5,4,3.0,Kalanki,Kathmandu
23500000,1026.75,10.0,North,3.0,6,4.0,Imadol,Lalitpur
20000000,1475.953125,10.0,West,2.5,7,3.0,Makalbari,Kathmandu
38000000,1403.225,10.0,South East,2.5,4,3.0,Bhaisepati,Lalitpur
57000000,2429.975,10.0,East,3.5,8,8.0,Dhumbarahi,Kathmandu
10500000,1095.2,10.0,South,1.0,3,1.0,Sudal,Bhaktapur
32500000,2053.5,10.0,East,2.5,5,1.0,Dhapasi,Kathmandu
19000000,1197.875,10.0,East,3.0,7,3.0,Sipadol,Bhaktapur
29900000,1711.475,10.0,West,3.5,8,4.0,Goldhunga,Kathmandu
23000000,1026.75,10.0,South,2.0,6,2.0,Bafal,Kathmandu
42500000,2053.5,10.0,South,3.5,4,4.0,Balkot,Bhaktapur
30000000,1540.125,10.0,West,5.0,10,6.0,Gongabu,Kathmandu
18500000,1540.12,10.0,East,3.0,4,3.0,Gurjudhara,Kathmandu
29500000,1026.75,10.0,East,2.5,4,3.0,Banasthali,Kathmandu
20000000,1026.75,10.0,South,2.5,4,3.0,Sovahity,Lalitpur
50000000,1582.9,10.0,South,4.0,8,8.0,Balaju,Kathmandu
11000000,727.28,10.0,East,2.0,4,3.0,Balambu,Kathmandu
29000000,1369.0,10.0,South east,3.0,1,1.0,Kapan,Kathmandu
29000000,1390.39,10.0,West,2.5,6,4.0,Bansbari,Kathmandu
36000000,2053.5,10.0,South east,3.0,6,5.0,Bansbari,Kathmandu
19500000,1369.0,10.0,North East,2.5,4,5.0,Goldhunga,Kathmandu
20000000,1060.975,10.0,North,2.5,4,2.0,Naikap,Kathmandu
23000000,1095.2,10.0,South,2.5,5,3.0,Jorpati,Kathmandu
19500000,1197.875,10.0,East,3.0,6,3.0,Sipadol,Bhaktapur
56000000,2429.975,10.0,South,3.5,7,6.0,Dhumbarahi,Kathmandu
16500000,1026.75,10.0,South,3.0,6,3.0,Tikathali,Lalitpur
23500000,1540.125,10.0,West,2.5,5,3.0,Raniban,Kathmandu
50000000,2395.75,10.0,South,2.5,4,4.0,"bhetghat chowk bansbari , dhapasi marga",Kathmandu
36500000,577.546875,10.0,West,3.5,8,3.0,"Bhotebahal,Teku",Kathmandu
45000000,3080.25,10.0,East,2.5,7,4.0,Greenland Chowk,Kathmandu
29000000,2053.5,10.0,East,3.0,6,4.0,Sitapaila,Kathmandu
37000000,1711.25,10.0,West,2.0,4,2.0,Gongabu Chowk,Kathmandu
48000000,2738.0,10.0,South,3.0,7,6.0,Maharajgunj,Kathmandu
15000000,1197.875,10.0,South,3.0,3,3.0,Joranku,Kathmandu
37500000,1060.975,10.0,West,3.5,8,3.0,Gongabu,Kathmandu
49500000,3080.25,10.0,South,3.0,7,7.0,Balkhu,Kathmandu
16500000,1026.75,10.0,North,3.0,5,3.0,Mulpani,Kathmandu
47500000,2738.0,10.0,West,2.5,5,4.0,Baneshwor,Kathmandu
36000000,2053.5,10.0,South East,3.0,6,6.0,Bansbari,Kathmandu
26000000,1369.0,10.0,North East,2.5,6,3.0,Tokha,Kathmandu
9000000,2181.84375,10.0,East,3.0,6,3.0,Thapathali,Kathmandu
29000000,2053.5,10.0,South East,2.5,5,3.0,Gurjudhara,Kathmandu
22500000,752.95,10.0,South,2.5,4,2.0,Lazimpat,Kathmandu
26000000,1026.75,10.0,North,3.5,8,4.0,Pepsicola,Kathmandu
13500000,941.1875,10.0,North East,3.0,3,9.0,Imadol,Lalitpur
16500000,1112.3125,10.0,South,3.0,6,3.0,Baniyatar,Kathmandu
29000000,1540.125,10.0,West,5.0,10,6.0,Gongabu,Kathmandu
21000000,1129.425,10.0,East,3.5,10,3.0,Sudal,Bhaktapur
28000000,1711.25,10.0,East,3.0,7,5.0,Naya Basti,Kathmandu
31000000,1304.82,10.0,North,2.5,5,4.0,Ichangu Narayan,Kathmandu
60000000,2395.75,10.0,South,5.0,9,7.0,Gaurighat,Kathmandu
23000000,1369.0,10.0,East,3.0,7,4.0,Jorpati,Kathmandu
16500000,1026.75,10.0,South East,2.5,6,3.0,Goldhunga,Kathmandu
17200000,1026.75,10.0,South,1.0,5,1.0,"Khahare, Kadaghari, Nearby Aksharaa School",Kathmandu
30000000,1540.125,10.0,East,3.5,1,5.0,Syuchatar,Kathmandu
60000000,1026.75,10.0,West,5.0,1,1.0,Kalanki,Kathmandu
21000000,1026.75,10.0,South,2.5,5,3.0,Gothatar,Kathmandu
23500000,1711.25,10.0,South,2.0,1,1.0,Nayabasti,Kathmandu
39500000,1540.125,10.0,East,3.0,1,1.0,Tahachal,Kathmandu
29900000,1711.25,10.0,West,4.0,8,4.0,Goldhunga,Kathmandu
22000000,1711.25,10.0,South,2.5,6,3.0,Mahadevsthan,Kathmandu
15000000,1060.975,10.0,South,1.0,2,1.0,Danchhi,Kathmandu
27500000,1711.25,10.0,East,3.5,5,5.0,Narayanthan,Kathmandu
22000000,1711.25,10.0,West,2.5,6,3.0,Thankot,Kathmandu
25500000,1925.15,10.0,West,2.5,4,2.0,Syuchatar,Kathmandu
9100000,900.0,10.0,West,2.0,3,2.0,Thali milan chowk,Kathmandu
23500000,1882.375,10.0,East,2.5,6,5.0,Thasikhel,Lalitpur
15000000,1133.703125,10.0,East,2.5,5,2.0,TIkathali,Lalitpur
20000000,1369.0,10.0,North,2.5,6,3.0,Mulpani 7,Kathmandu
24500000,1369.0,10.0,East,2.5,6,3.0,Mulpani,Kathmandu
16000000,1000.0,10.0,East,3.5,4,3.0,mulpani,Kathmandu
30000000,1369.0,10.0,South,3.0,4,4.0,Basundhara,Kathmandu
17000000,1433.171875,10.0,West,1.0,2,1.0,Tikathali,Lalitpur
23000000,1026.75,10.0,North West,3.0,4,2.0,Syuchatar,Kathmandu
23000000,1026.75,10.0,South,2.5,5,3.0,Kalanki,Kathmandu
16000000,1069.53,10.0,East,2.5,5,2.0,Manamaiju,Kathmandu
18500000,3080.25,10.0,West,1.0,4,1.0,Thankot,Kathmandu
31000000,1235.5225,10.0,North,3.5,11,3.0,"Nayabasti, Jorpati",Kathmandu
26000000,1369.0,10.0,South,2.5,4,3.0,Thecho,Lalitpur
20200000,1026.75,10.0,East,3.0,7,4.0,Suryabinayak,Bhaktapur
21000000,1283.4375,10.0,East,3.0,10,3.0,Changunarayan,Bhaktapur
9000000,1060.975,10.0,North,1.5,3,2.0,"Samanthali , duwakot",Bhaktapur
45000000,1711.25,10.0,East,2.5,7,4.0,Samakhusi Chowk,Kathmandu
17000000,1026.75,10.0,East,2.0,5,2.0,Tarkeshwor,Kathmandu
14500000,1095.2,10.0,East,2.5,3,3.0,Sitapaila,Kathmandu
22000000,1711.25,10.0,East,3.0,6,3.0,Chandragiri,Kathmandu
12000000,1026.75,10.0,East,1.0,2,1.0,Goldhunga,Kathmandu
35000000,1369.0,10.0,North East,3.0,6,5.0,Tikathali,Lalitpur
18000000,1437.45,10.0,East,1.0,4,3.0,Kalanki,Kathmandu
19000000,1095.2,10.0,North,1.0,3,1.0,Tokha,Kathmandu
13000000,941.1875,10.0,West,2.5,4,3.0,Ratomate,Kathmandu
45000000,2652.4375,10.0,West,4.5,7,8.0,Ranibari,Kathmandu
29000000,1711.25,10.0,West,2.5,4,4.0,Sitapaila,Kathmandu
35500000,1500.0,10.0,East,2.5,6,4.0,Sitapaila,Kathmandu
29500000,1500.0,10.0,South,3.0,8,3.0,Subarnachowk,Bhaktapur
30000000,1711.25,10.0,West,2.5,5,4.0,Purano Naikap,Kathmandu
21000000,1090.92,10.0,East,3.5,8,3.0,"Sudal, Changunarayan",Bhaktapur
22000000,1197.875,10.0,East,3.0,6,4.0,PepsiCola,Kathmandu
13500000,1026.75,10.0,South,3.5,4,3.0,Panga,Kathmandu
26000000,1625.68,10.0,North,2.0,2,2.0,Panchakanya Marga Kapan near Nabil Bank,Kathmandu
25000000,900.0,10.0,East,2.5,5,3.0,pabitra basti,Kathmandu
26500000,1711.25,10.0,West,2.5,6,3.0,on the way to cable car,Kathmandu
23000000,1026.75,10.0,South,4.5,15,8.0,New Buspark,Kathmandu
28500000,1711.25,10.0,South East,3.5,6,3.0,Baniyatar,Kathmandu
18500000,855.625,10.0,North East,3.0,3,3.0,Tikathali,Lalitpur
41000000,1026.75,10.0,South east,2.5,6,5.0,"Sanep, Jhamsikhel",Lalitpur
105000000,3764.75,10.0,East,2.5,4,4.0,Maharajgunj,Kathmandu
48000000,2738.0,10.0,South,2.5,7,5.0,Maharajgunj,Kathmandu
27000000,1369.0,10.0,South East,3.0,11,3.0,Kapan,Kathmandu
16000000,1197.875,10.0,East,2.5,3,3.0,Makalbari,Kathmandu
30000000,1026.75,10.0,North West,3.5,6,4.0,Kharibot,Lalitpur
16000000,1369.0,10.0,South East,2.0,2,2.0,Chandragiri,Kathmandu
23000000,1129.425,10.0,North West,2.5,5,4.0,Ramkot,Kathmandu
12700000,1026.75,10.0,North,1.0,3,1.0,"Lambagar, Sesmati",Kathmandu
28000000,1369.0,10.0,South,2.5,5,4.0,Makalbari,Kathmandu
48000000,2738.0,10.0,East,3.5,5,4.0,Koteshwor,Kathmandu
76000000,2053.5,10.0,South,3.5,8,10.0,Baluwatar,Kathmandu
23000000,1326.21875,10.0,North East,3.5,4,4.0,Khumaltar,Lalitpur
26000000,1095.2,10.0,North,2.5,5,2.0,Naya Basti,Kathmandu
27500000,1095.2,10.0,West,2.5,6,4.0,Baluwakhani,Kathmandu
41500000,1026.75,10.0,East,3.5,1,4.0,Koteshwor,Kathmandu
32000000,1095.2,10.5,West,3.0,8,4.0,Kumarigal,Kathmandu
55000000,2738.0,10.5,South East,3.5,6,4.0,Machhapokhari,Kathmandu
24000000,1026.75,11.0,South,3.0,6,3.0,Narayantar,Kathmandu
26000000,1369.0,11.0,South,2.5,6,3.0,Lambagar,Kathmandu
26500000,1095.2,11.0,North West,2.5,4,4.0,Imadol,Lalitpur
67500000,3148.7,11.0,North East,4.0,8,6.0,Bouddha,Kathmandu
75000000,2053.5,11.0,South East,4.0,8,9.0,Baluwatar,Kathmandu
22500000,1369.0,11.0,East,3.5,6,7.0,Nepaltar,Kathmandu
30000000,1369.0,11.0,North West,2.0,6,4.0,Sitapaila,Kathmandu
14500000,1026.75,11.0,North,1.5,4,1.0,Imadol,Lalitpur
24000000,1026.75,11.0,South,3.0,5,3.0,Tokha,Kathmandu
21600000,1026.75,11.0,North,3.5,8,4.0,Nepaltar,Kathmandu
42500000,1129.425,11.0,South West,3.5,6,5.0,Anamnagar,Kathmandu
25600000,7443.9375,11.0,East,2.0,4,4.0,Hattiban,Lalitpur
16000000,752.95,11.0,South,2.5,4,5.0,Ekatabasti,Kathmandu
105000000,3764.75,11.0,East,2.0,4,4.0,Maharajgunj,Kathmandu
25000000,1711.25,11.0,South,3.0,7,5.0,Baniyatar,Kathmandu
22000000,2053.5,11.0,South,2.5,11,3.0,Naikap,Kathmandu
11000000,1112.3125,11.0,South East,3.0,3,4.0,Lubhu,Lalitpur
70000000,2156.175,11.0,South,2.0,6,5.0,Gahana Pokhari,Kathmandu
40000000,1437.45,11.0,West,2.5,4,4.0,Kusunti,Lalitpur
27500000,1197.875,11.0,East,2.5,5,2.0,Kapan,Kathmandu
18000000,1779.7,11.0,East,3.5,4,4.0,Mandikhatar,Kathmandu
17500000,1060.975,11.0,West,2.0,6,3.0,Godawari,Lalitpur
26500000,1095.2,11.0,South West,2.5,5,3.0,Bhelpa,Lalitpur
17000000,1454.5625,11.0,South East,2.0,6,3.0,Gurujudhara,Kathmandu
32500000,8128.4375,11.0,East,2.0,4,3.0,Tinkune,Kathmandu
23000000,1197.875,11.0,North East,3.0,5,5.0,Pepsicola,Kathmandu
50000000,3422.5,11.0,North,2.0,5,3.0,Tinkune,Kathmandu
27000000,1369.0,11.0,West,4.5,8,4.0,Gorkarneshwor,Kathmandu
28000000,1060.975,11.0,East,3.5,8,6.0,Manamaiju,Kathmandu
20400000,1026.75,11.5,South West,2.5,4,3.0,Sanagaun,Lalitpur
67500000,2738.0,11.5,South East,2.0,9,6.0,Dhumbarahi,Kathmandu
38000000,2156.175,11.5,East,3.5,7,7.0,Sitapaila,Kathmandu
33000000,1711.25,12.0,East,4.0,5,4.0,Anamnagar,Kathmandu
18000000,1796.8125,12.0,South,1.0,2,1.0,Chabahil,Kathmandu
37000000,1860.984375,12.0,South,3.0,8,5.0,Swayambhu,Kathmandu
25000000,1112.3125,12.0,East,2.0,4,3.0,Tokha,Kathmandu
31500000,1711.25,12.0,South West,2.5,6,5.0,Aakasedhara,Kathmandu
45000000,2395.75,12.0,East,2.5,5,3.0,Sukedhara,Kathmandu
45000000,2395.75,12.0,East,4.0,10,10.0,Dhumbarahi,Kathmandu
19500000,1026.75,12.0,East,2.5,5,3.0,Dhapasi,Kathmandu
34000000,1369.0,12.0,South,3.0,6,3.0,Swayambhu,Kathmandu
70000000,2395.75,12.0,East,2.5,4,3.0,Sukhedhara,Kathmandu
70000000,2395.75,12.0,East,2.5,4,3.0,Sukedhara,Kathmandu
42500000,1711.25,12.0,East,2.0,5,3.0,Sukedhara,Kathmandu
49500000,1369.0,12.0,North,2.0,1,3.0,Sukedhara,Kathmandu
70000000,3764.75,12.0,East,3.5,9,10.0,Lolang,Kathmandu
125000000,6502.75,12.0,South,2.5,6,4.0,Golfutar,Kathmandu
35000000,2010.71,12.0,north east east,3.5,9,4.0,Sukedhara,Kathmandu
49500000,2806.45,12.0,South East,3.5,8,7.0,Sitapaila,Kathmandu
21500000,2700.0,12.0,East,3.0,4,3.0,Jorpati,Kathmandu
23750000,1197.875,12.0,North West,3.0,6,5.0,Baniyatar,Kathmandu
15500000,787.175,12.0,West,3.5,6,3.0,Lolang,Kathmandu
30000000,1411.78,12.0,East,2.5,6,5.0,Sanepa,Lalitpur
36500000,1369.0,12.0,South,2.5,5,4.0,Bafal,Kathmandu
35000000,1240.65625,12.0,West,2.5,7,3.0,Sankhamul,Kathmandu
27000000,1440.0,12.0,East,2.5,3,3.0,Balwakhani,Kathmandu
55000000,1745.475,12.0,South east,2.5,4,5.0,Baluwatar,Kathmandu
41000000,2395.75,12.0,South East,4.0,11,4.0,Baluwatar,Kathmandu
22000000,1060.975,12.0,East,2.5,5,3.0,Dhalmal,Kathmandu
33000000,1437.45,12.0,North,2.5,3,4.0,kathmandu ward 4 office,Kathmandu
58000000,2887.73,12.0,East,2.5,6,5.0,Bafal,Kathmandu
31500000,1625.6875,12.0,South,3.0,4,4.0,Bhaisepati,Lalitpur
24500000,1026.75,12.0,east,2.5,4,3.0,Bafal,Kathmandu
23000000,1561.51,12.0,South west,2.5,5,3.0,Sipadol,Bhaktapur
30000000,1471.675,12.0,West,2.5,5,4.0,Paiyuntar,Kathmandu
60000000,2738.0,12.0,North,2.5,6,4.0,Bhaisepati,Lalitpur
39000000,1095.2,12.0,East,3.5,6,3.0,Kapan,Kathmandu
35000000,2845.0,12.0,East,3.0,5,4.0,Budhanilkantha,Kathmandu
26000000,1197.875,12.0,East,2.5,7,3.0,Tikathali,Lalitpur
17500000,1197.875,12.0,North,3.0,6,2.0,Pasikot,Kathmandu
52500000,2738.0,12.0,East,3.0,8,4.0,Deuwa chowk,Kathmandu
37500000,2481.3125,12.0,North West,4.0,8,6.0,Bhaisepati,Lalitpur
25000000,1369.0,12.0,South East,2.5,5,3.0,Jarankhu,Kathmandu
65000000,5476.0,12.0,West,2.5,5,3.0,Jarankhu,Kathmandu
19500000,1026.75,12.0,East,2.5,5,4.0,Imadol,Lalitpur
