Title,Full_Address,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Build Area,Posted,Amenities,City,Address
"Bungalow : House For Sale In Maharajgunj, Kathmandu","['Near Kanti Children Hospital', ' Maharajgunj', ' Kathmandu']","NPR. 11,00,00,000",0,0,2.5,2,South East,,691,0-10-0-0 Aana,12 Feet / Blacktopped,N/A Aana,1 month ago,[], Kathmandu, Maharajgunj
"House For Sale In Thamel, Kathmandu","['Golkhupakha', ' Thamel', ' Thamel', ' Kathmandu']","NPR. 2,60,00,000 Onwards",6,5,3.0,0,East,2073.0,222,4 Aana,0 Feet / Alley,3.2 Aana,1 month ago,"['Lawn', 'Balcony', 'Water Supply', 'Fencing']", Kathmandu, Thamel
"4 Storey Residential Flat System House : House For Sale In Kalanki, Kathmandu","['Kalanki Malpot', ' Kritipur-1', ' Kalanki', ' Kathmandu']","NPR. 3,35,00,000 Total Price",8,5,4.0,0,East,2065.0,182,0-4-0-0 Aana,8 Feet / Blacktopped,3200 Sq. Feet,2 months ago,"['Balcony', 'Deck', 'Fencing', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']", Kathmandu, Kalanki
"House For Sale Nakhu : House For Sale In Nakkhu, Lalitpur","['Aadinath marga', ' Nakkhu', ' Lalitpur']","NPR. 3,60,00,000 Onwards",4,5,2.0,2,South West,2076.0,273,0-4-1-0 Aana,13 Feet / Paved,856 Sq. Feet,2 months ago,"['Drainage', 'Parking', 'Balcony', 'Garden', 'Solar Water', 'Modular Kitchen', 'Water Tank', 'Water Well', 'Store Room']", Lalitpur, Nakkhu
"House On Sale In Ranibari : House For Sale In Ranibari, Kathmandu","['Ranibari', ' Ranibari', ' Kathmandu']","NPR. 2,20,00,000",9,4,3.0,0,South East,2050.0,294,2.75 Aana,8 Feet / Gravelled,2.5 Aana,2 months ago,"['Parking', 'Balcony', 'Fencing', 'Water Supply', 'Water Tank', 'Water Well']", Kathmandu, Ranibari
"House On Sale Sital Hight Imadol : House For Sale In Imadol, Lalitpur","['Sital hight', ' Imadol', ' Lalitpur']",NPR. 255 Onwards,4,4,3.0,0,North East,,224,3-1-0 Aana,13 Feet,2-3 Aana,2 months ago,"['Parking', 'Store Room']", Lalitpur, Imadol
"House On Sell In Imadol : House For Sale In Imadol, Lalitpur","['Imadol', ' Imadol', ' Lalitpur']",NPR. 285 Onwards,4,4,3.0,4,North West,,277,3-2-0 Aana,13 Feet,1026 Sq. Feet,2 months ago,"['Parking', 'Modular Kitchen', 'Water Tank']", Lalitpur, Imadol
"House For Sale : House For Sale In Bafal, Kathmandu","['Ringroad Bafal', ' Bafal', ' Kathmandu']","NPR. 7,50,00,000 Total Price",10,3,3.0,2,West,2066.0,254,0-12-0-0 Aana,13 Feet / Blacktopped,3100 Sq. Feet,2 months ago,"['Lawn', 'Garage', 'Balcony', 'Deck', 'Fencing', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']", Kathmandu, Bafal
"RESIDENTIAL PLUS COMMERCIAL : House For Sale In Kupondole, Lalitpur","['Kupondole', ' Kupondole', ' Lalitpur']","NPR. 6,20,00,000",6,3,3.0,0,South,,206,0-6-0-0 Aana,13 Feet / Blacktopped,N/A Sq. Feet,2 months ago,"['Balcony', 'Fencing', 'Garden', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Parking', 'Store Room']", Lalitpur, Kupondole
"House For Sale Bhaisepati : House For Sale In Bhaisepati, Lalitpur","['189/106', ' Bhaisepati', ' Lalitpur']","NPR. 3,75,00,000 Onwards",3,4,3.0,2,South,2019.0,296,4-2 Aana,18 Feet,N/A Aana,3 months ago,"['Drainage', 'Garage', 'Parking', 'Balcony', 'Water Supply', 'Garden', 'Store Room', 'Water Tank', 'Solar Water']", Lalitpur, Bhaisepati
"House For Sale At Hattiban Lalitpur : House For Sale In Hattiban, Lalitpur","['Samiti bhawan', ' Hattiban', ' Lalitpur']","NPR. 2,00,00,000 Onwards",3,2,2.0,1,South East,2071.0,234,3 Aana,14 Feet / Blacktopped,900 Sq. Feet,3 months ago,"['Parking', 'Balcony', 'Fencing', 'Water Supply', 'Drainage', 'Water Well', 'Water Tank']", Lalitpur, Hattiban
"Residential House For Sale : House For Sale In Sinamangal, Kathmandu","['Guna Colony', ' Sinamangal', ' Sinamangal', ' Kathmandu']","NPR. 5,51,00,000 Total price",7,5,3.0,2,East,2064.0,15.2K,0-6-0-0 Aana,13 Feet / Blacktopped,2800 Aana,3 months ago,[], Kathmandu, Sinamangal
"Residential Semi- Bungalow : House For Sale In Gurujudhara, Kathmandu","['Balambu', ' 500 meter from Highway', ' Gurujudhara', ' Kathmandu']","NPR. 5,00,00,000 Total price",7,6,4.0,2,South East,,532,0-8-0-0 Aana,13 Feet / Concrete,3300 Sq. Feet,3 months ago,"['Lawn', 'Garage', 'Balcony', 'Deck', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Solar Water', 'Water Well', 'CCTV', 'Internet', 'Parking', 'Store Room']", Kathmandu, Gurujudhara
"Imadole Inside 500m From Krishna Mandir : House For Sale In Imadol, Lalitpur","['Imadole', ' Imadol', ' Lalitpur']","NPR. 1,29,00,000 Onwards",2,2,2.0,1,South,2023.0,397,0-3-0-0 Aana,14 Feet / Blacktopped,600 Sq. Feet,3 months ago,[], Lalitpur, Imadol
"House For Sale In Gongabu Ganeshthan : House For Sale In Gongabu, Kathmandu","['Gongabu', ' Ganeshthan', ' Gongabu', ' Kathmandu']","NPR. 3,50,00,000 Onwards",4,3,3.0,1,South,2072.0,228,128.80 Sq. Meter,12 Feet,2868 Sq. Feet,3 months ago,"['Drainage', 'Parking', 'Balcony', 'Fencing', 'TV Cable', 'Water Tank']", Kathmandu, Gongabu
"House On Sale On Hattigauda, Near Ganesh School : House For Sale In Budhanilkantha, Kathmandu","['hattigauda', ' near ganesh school', ' Budhanilkantha', ' Kathmandu']","NPR. 3,40,00,000",5,3,2.0,1,North East,2075.0,251,4 Aana,16 Feet / Gravelled,N/A Aana,3 months ago,[], Kathmandu, Budhanilkantha
"Bunglow For Sale At Tokha-6, Dhapasi, Kathmandu : House For Sale In Tokha, Kathmandu","['Milan Tole', ' Tokha', ' Kathmandu']","NPR. 7,00,00,000 Onwards",5,7,3.0,3,North West,2074.0,179,8 aana 2 paisa 2 daam Aana,18 Feet / Blacktopped,N/A Aana,3 months ago,"['Garage', 'Drainage', 'Parking', 'Balcony', 'Water Supply', 'Garden', 'CCTV', 'Modular Kitchen', 'TV Cable', 'Solar Water', 'Water Tank', 'Water Well', 'Lawn', 'Jacuzzi']", Kathmandu, Tokha
"House For Sale In Godawari, Lalitpur","['Bistachap', ' Godawari', ' Lalitpur']","NPR. 95,00,000",0,0,,0,East,,302,0-2-2-3 Aana,20 Feet / Gravelled,0-2-2-3 Sq. Feet,3 months ago,"['Parking', 'Water Supply', 'Internet']", Lalitpur, Godawari
"Residential House For Sale At Khusibhu , Nayabazar : House For Sale In Khusibu, Kathmandu","['khusibu', ' Khusibu', ' Kathmandu']","NPR. 3,40,00,000 Onwards",5,3,3.0,1,East,2072.0,249,3-1-1 Aana,0 Feet,1832 Sq. Feet,3 months ago,"['Lawn', 'Drainage', 'Garage', 'Parking', 'Garden', 'Water Supply', 'Fencing', 'Balcony', 'Modular Kitchen', 'Solar Water', 'Water Well', 'Wifi', 'Water Tank', 'Internet', 'Washing Machine']", Kathmandu, Khusibu
"Residential 2.5 Storey : House For Sale In Imadol, Lalitpur","['Shree marg', ' Sitalheight', ' Imadol', ' Imadol', ' Lalitpur']","NPR. 2,65,00,000 Total price",4,3,3.0,1,East,2075.0,2.1K,0-3-2-0 Aana,13 Feet / Gravelled,2000 Aana,3 months ago,"['Balcony', 'Deck', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']", Lalitpur, Imadol
"Residential House On Sale Sipadol,Bhaktapur : House For Sale In Sipadol, Bhaktapur","['Suryabinayak-08', ' Sipadol', ' Bhaktapur']","NPR. 3,75,00,000 Onwards",7,4,3.0,2,North,,120,0-4-2-0 Aana,20 Feet,820 Sq. Feet,4 months ago,"['Drainage', 'Parking', 'Air Condition', 'Balcony', 'Water Supply', 'CCTV', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Solar Water', 'Water Well', 'Water Tank', 'Electricity Backup', 'Intercom', 'Internet', 'Microwave']", Bhaktapur, Sipadol
"House For Sale In Kapan, Kathmandu","['Paiyatar', 'Kapan Kathmandu', ' Kapan', ' Kathmandu']","NPR. 4,25,00,000 Onwards",7,0,3.0,2,East,2077.0,192,5 Aana,18 Feet / Paved,3300 Sq. Feet,4 months ago,"['CCTV', 'Parking', 'TV Cable', 'Solar Water', 'Water Well', 'Electricity Backup', 'Internet', 'Kids Playground', 'Water Tank', 'Water Supply', 'Balcony', 'Air Condition', 'Modular Kitchen']", Kathmandu, Kapan
"Urgent Sale House At Naikap : House For Sale In Naikap, Kathmandu","['Adarsh tole', ' Naikap', ' Kathmandu']","NPR. 55,00,000 Per Aana",3,3,3.0,2,East,2015.0,251,8 Aana,20 Feet / Blacktopped,7 Aana,4 months ago,"['Lawn', 'Drainage', 'Garage', 'Parking', 'Balcony', 'Fencing', 'Water Supply', 'Garden', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Solar Water', 'Water Tank', 'Kids Playground', 'Maintenance', 'Store Room']", Kathmandu, Naikap
"Commercial House For Sale In Thamel With Attractive Rental Income : House For Sale In Thamel, Kathmandu","['Thamel bhagwatibahal', ' Thamel', ' Kathmandu']","NPR. 8,95,00,000",0,3,7.0,0,East,2004.0,384,0-2-0-3 Aana,20 Feet / Blacktopped,5500 Sq. Feet,4 months ago,['Water Supply'], Kathmandu, Thamel
"Box-Design : House For Sale In Tikathali, Lalitpur","['Buddha Colony', ' Tikathali', ' Lalitpur']","NPR. 3,75,00,000 Total Price",5,4,2.5,2,South East,,1.8K,0-3-3-0 Aana,13 Feet / Concrete,2400 Sq. Feet,4 months ago,[], Lalitpur, Tikathali
"RESIDENTIAL : House For Sale In Imadol, Lalitpur","['Sital Height', ' Imadol', ' Lalitpur']","NPR. 3,15,00,000 Total Price",6,4,2.5,2,East,,752,0-3-2-2 Aana,13 Feet / Soil Stabilized,N/A Aana,4 months ago,"['Balcony', 'Modular Kitchen', 'Drainage', 'Water Tank', 'Parking', 'Store Room']", Lalitpur, Imadol
"Brihat Community Living : House For Sale In Sitapaila, Kathmandu","['Ramkot', ' Sitapaila', ' Kathmandu']","NPR. 7,31,00,000 Total Price",4,4,2.0,2,South West,,1.1K,0-10-2-3 Aana,18 Feet / Blacktopped,1860 Aana,5 months ago,"['Balcony', 'Fencing', 'Garden', 'Gym', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'CCTV', 'Intercom', 'Internet', 'Maintenance', 'Parking', 'Security Staff', 'Store Room']", Kathmandu, Sitapaila
"RESIDENTIAL : House For Sale In Mahalaxmi Nagarpalika, Lalitpur","['Changathali', ' United Colony', ' Mahalaxmi Nagarpalika', ' Lalitpur']","NPR. 2,60,00,000 Total Price",6,4,2.5,1,South,,372,0-3-2-0 Aana,13 Feet / Blacktopped,2500 Sq. Feet,5 months ago,"['Balcony', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Parking', 'Store Room']", Lalitpur, Mahalaxmi Nagarpalika
"House For Sale In Kapan, Kathmandu","['Payatar', ' Kapan', ' Kathmandu']","NPR. 2,70,00,000",11,3,3.0,1,South East,2077.0,549,4 Aana,10 Feet / Blacktopped,2200 Sq. Feet,5 months ago,"['Parking', 'Balcony', 'Water Supply', 'Garden', 'CCTV', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Solar Water', 'Water Well', 'Water Tank', 'Internet', 'Store Room', 'Lawn']", Kathmandu, Kapan
"House On Sale : House For Sale In Imadol, Lalitpur","['Rajkulo Marga', ' Imadol', ' Lalitpur']","NPR. 2,65,00,000",4,3,3.0,1,South,2022.0,555,0-3-2-0 Aana,20 Feet / Gravelled,N/A Aana,5 months ago,"['Lawn', 'Drainage', 'Parking', 'Balcony', 'Fencing', 'Water Supply', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Water Well', 'Water Tank', 'Internet']", Lalitpur, Imadol
"House For Sale In Imadol, Lalitpur","['imadol naya basi', ' Imadol', ' Lalitpur']","NPR. 2,85,00,000",9,4,3.0,1,South,2077.0,280,3-2-0 Aana,13 Feet / Gravelled,2500 Sq. Feet,5 months ago,"['Parking', 'Water Supply', 'Water Tank', 'TV Cable', 'Modular Kitchen', 'Solar Water', 'Water Well']", Lalitpur, Imadol
"House : House For Sale In Dhumbarahi, Kathmandu","['385/25', ' Dhumbarahi', ' Kathmandu']","NPR. 5,50,00,000 Onwards",10,7,4.0,2,North,2066.0,567,0-5-2-0 Aana,13 Feet / Blacktopped,3300 Sq. Feet,5 months ago,"['Drainage', 'Parking', 'TV Cable', 'Washing Machine', 'Wifi', 'Solar Water', 'Water Tank', 'Electricity Backup', 'Internet']", Kathmandu, Dhumbarahi
"Brihat Community Living : House For Sale In Sitapaila, Kathmandu","['Ramkot', ' Sitapaila', ' Kathmandu']","NPR. 5,36,00,000 Total Price",3,4,3.5,1,North,2078.0,1.6K,0-6-1-3 Aana,20 Feet / Paved,2900 Sq. Feet,5 months ago,"['Lawn', 'Balcony', 'Fencing', 'Garden', 'Gym', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'CCTV', 'Internet', 'Kids Playground', 'Maintenance', 'Parking', 'Security Staff', 'Store Room', 'Jacuzzi']", Kathmandu, Sitapaila
"House For Sale In Imadol, Lalitpur","['Imadol 4 Bojepokhari', ' Imadol', ' Lalitpur']",NPR. 285,6,5,3.0,1,East,,211,0.3.2.1 Aana,12 Feet / Gravelled,2461 Sq. Feet,5 months ago,"['Parking', 'Water Supply', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Solar Water', 'Water Tank', 'Internet', 'Balcony']", Lalitpur, Imadol
"Built On 5 Aana 2 Paisa 3 Daam. Brand New House Sale At Imadol Sital Height , Lalitpur, Nepal. Very Low Price New House. : House For Sale In Imadol, Lalitpur","['Sital height', ' Imadol', ' Imadol', ' Lalitpur']","NPR. 3,85,00,000",7,5,3.0,10,East,,244,6 Aana,18 Feet / Gravelled,0-5-2-3 Aana,5 months ago,"['Lawn', 'Drainage', 'Parking', 'Balcony', 'Deck', 'Fencing', 'Water Supply', 'Garden', 'Modular Kitchen', 'TV Cable', 'Solar Water', 'Water Well', 'Water Tank']", Lalitpur, Imadol
"House For Sale In Budhanilkantha, Kathmandu","['Bagmati', ' Budhanilkantha', ' Kathmandu']","NPR. 7,90,00,000 N/A",5,5,2.0,3,East,,494,8 Aana,26 Feet / Paved,N/A Sq. Feet,5 months ago,"['Parking', 'Balcony', 'Water Supply', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Washing Machine', 'Solar Water', 'Water Well', 'Water Tank', 'Internet', 'Store Room']", Kathmandu, Budhanilkantha
"Residential : House For Sale In Hattiban, Lalitpur","['Near LA School', ' Hattiban', ' Lalitpur']","NPR. 3,25,00,000",5,4,3.0,1,South,,1.2K,0-4-0-0 Aana,13 Feet / Blacktopped,2300 Sq. Feet,6 months ago,"['Balcony', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking', 'Store Room']", Lalitpur, Hattiban
"FINE RESIDENTIAL : House For Sale In Hattiban, Lalitpur","['Sitapakha', ' Hattiban', ' Lalitpur']","NPR. 3,50,00,000 Total Price",5,4,3.5,1,North East,,925,0-4-0-0 Aana,13 Feet / Concrete,2500 Sq. Feet,6 months ago,"['Balcony', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking', 'Store Room']", Lalitpur, Hattiban
"Comfortable Residential : House For Sale In Hattiban, Lalitpur","['Sitapakha', ' Hattiban', ' Lalitpur']","NPR. 2,90,00,000 Total Price",6,4,2.5,1,West,,1.2K,0-3-1-0 Aana,13 Feet / Concrete,N/A Aana,6 months ago,[], Lalitpur, Hattiban
"House For Sale In Imadol, Lalitpur","['Rajkulo', ' Imadol', ' Lalitpur']","NPR. 2,75,00,000 Per Month",5,4,3.0,1,North,2077.0,410,3 Aana,16 Feet / Gravelled,2200 Sq. Feet,6 months ago,"['Garage', 'Parking', 'Water Supply', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Solar Water', 'Water Tank', 'Internet']", Lalitpur, Imadol
"RESIDENTIAL : House For Sale In Dallu, Kathmandu","['Dallu Awas', ' Dallu', ' Kathmandu']","NPR. 4,10,00,000 Total Price",6,3,3.0,1,South,,1.5K,0-3-0-0 Aana,16 Feet / Blacktopped,2300 Sq. Feet,6 months ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Internet', 'Store Room']", Kathmandu, Dallu
"Residential House On Sale And Rent : House For Sale In Nagarjun, Kathmandu","['Nagarjun-6', ' Nagarjun', ' Kathmandu']","NPR. 3,50,00,000 Total Price",6,4,2.5,2,North West,2016.0,422,6.5 Aana,16 Feet / Gravelled,N/A Aana,6 months ago,"['Modular Kitchen', 'Drainage', 'Water Supply', 'Solar Water', 'CCTV', 'Parking', 'Store Room']", Kathmandu, Nagarjun
"Pepsicola : House For Sale In Kageshwari-Manohara, Kathmandu","['barashutter', 'near bhadrakali petrol pump', ' Kageshwari-Manohara', ' Kathmandu']","NPR. 2,65,00,000 Onwards",6,3,3.0,1,East,2019.0,402,4 Aana,13 Feet / Gravelled,N/A Aana,6 months ago,"['Parking', 'Lawn', 'Drainage', 'Balcony', 'Garden', 'Water Tank', 'Water Supply']", Kathmandu, Kageshwari-Manohara
"House On Sale Near Krishna Mandir Imadol : House For Sale In Imadol, Lalitpur","['Imadol -7', ' Imadol', ' Lalitpur']","NPR. 1,55,00,000",1,1,1.0,1,East,2022.0,671,0-3-2-0 Aana,14 Feet / Gravelled,0-3-2-0 Aana,7 months ago,"['Parking', 'Water Supply']", Lalitpur, Imadol
"Newly Constructed : House For Sale In Budhanilkantha, Kathmandu","['Kapan', ' Budhanilkantha', ' Kathmandu']","NPR. 3,25,00,000 Total price",5,4,3.0,1,South,2079.0,448,0-4-0-0 Aana,13 Feet / Paved,2400 Aana,7 months ago,"['Garage', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking']", Kathmandu, Budhanilkantha
"Traditional Style : House For Sale In Budhanilkantha, Kathmandu","['Mandikatar Tennis Court', ' Budhanilkantha', ' Kathmandu']","NPR. 4,25,00,000 Total price",5,4,3.0,2,West,2078.0,1.4K,0-4-1-0 Aana,13 Feet / Gravelled,2400 Sq. Feet,7 months ago,"['Garage', 'Balcony', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking', 'Store Room']", Kathmandu, Budhanilkantha
"Semi-Bungalow : House For Sale In Budhanilkantha, Kathmandu","['Sundarbasti', ' Kapan', ' Budhanilkantha', ' Kathmandu']","NPR. 4,35,00,000 Total price",6,5,4.0,3,North East,2079.0,1.1K,0-5-0-0 Aana,13 Feet / Blacktopped,2800 Sq. Feet,7 months ago,"['Garage', 'Balcony', 'Deck', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']", Kathmandu, Budhanilkantha
"Residental House Sell : House For Sale In Tikathali, Lalitpur","['Tikathali', ' Tikathali', ' Lalitpur']","NPR. 2,65,00,000",3,3,3.0,3,South East,2016.0,271,5 Aana,0 Feet / Gravelled,5 Aana,7 months ago,"['Solar Water', 'Wifi', 'TV Cable']", Lalitpur, Tikathali
"4BHK Modern Home For Sale At Housing In Sitapaila : House For Sale In Sitapaila, Kathmandu","['Nagarjun ward no 4', ' Sitapaila', ' Sitapaila', ' Kathmandu']","NPR. 6,25,00,000 Onwards",4,5,,2,South,,634,0-7-2-3.14 Aana,22 Feet,2734 Sq. Feet,7 months ago,"['Drainage', 'Parking', 'Garden', 'Water Supply', 'Fencing', 'Balcony', 'Gym', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Security Staff']", Kathmandu, Sitapaila
"House / Land On Sale : House For Sale In Kupondole, Lalitpur","['kupondole lalitpur sanepa', ' Kupondole', ' Lalitpur']","NPR. 70,00,000 Per Aana",4,0,3.0,0,South East,,825,13 Aana,16 Feet / Paved,N/A Aana,7 months ago,[], Lalitpur, Kupondole
"BEAUTIFUL RESIDENTIAL : House For Sale In Imadol, Lalitpur","['Imadol-4 Mahalaxmi Nagarpalika', ' Imadol', ' Lalitpur']","NPR. 2,50,00,000 Total Price",5,4,3.5,1,East,,755,0-3-1-0 Aana,13 Feet / Gravelled,N/A Aana,7 months ago,"['Balcony', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking', 'Store Room']", Lalitpur, Imadol
"Residential : House For Sale In Imadol, Lalitpur","['Imadol-4 Mahalaxmi Nagarpalilka', ' Imadol', ' Lalitpur']","NPR. 2,40,00,000",4,3,2.5,1,East,,704,0-3-0-0 Aana,13 Feet / Gravelled,N/A Aana,7 months ago,"['Drainage', 'Water Supply']", Lalitpur, Imadol
"Residential : House For Sale In Imadol, Lalitpur","['Imadol-4 Mahalaxmi Nagarpalilka', ' Imadol', ' Lalitpur']","NPR. 2,35,00,000 Total price",4,4,2.5,1,South,,538,3 Aana,13 Feet / Gravelled,2200 Sq. Feet,7 months ago,"['Water Supply', 'Parking']", Lalitpur, Imadol
"Attractive Residential House : House For Sale In Lubhu, Lalitpur","['Lubhu Buspark', ' Lubhu', ' Lalitpur']","NPR. 2,75,00,000 Total Price",4,2,3.0,2,West,2077.0,1.7K,0-5-0-0 Aana,13 Feet / Gravelled,2500 Sq. Feet,7 months ago,"['Lawn', 'Garage', 'Balcony', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'CCTV', 'Internet', 'Parking', 'Store Room']", Lalitpur, Lubhu
"House For Sale In Kalanki, Kathmandu","['Amritnagar', ' Kalanki', ' Kathmandu']","NPR. 3,70,00,000 N/A",3,3,3.0,2,East,2074.0,304,4.25 Aana,14 Feet / Soil Stabilized,N/A Sq. Feet,7 months ago,"['Parking', 'Air Condition', 'Modular Kitchen', 'Solar Water', 'Water Tank']", Kathmandu, Kalanki
